spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
0KiZHfashmXDOeUFuxfviV,12/15/2024 23:06,android,10672,Color Esperanza,Diego Torres,Mis Favoritas,fwdbtn,fwdbtn,TRUE,TRUE
6IBn2H6Axqg4mc4PZW6jRz,12/15/2024 23:06,android,1962,Black Country Woman - Remaster,Led Zeppelin,Physical Graffiti,fwdbtn,fwdbtn,TRUE,TRUE
7BKLCZ1jbUBVqRi2FVlTVw,12/15/2024 23:06,android,2103,Closer,The Chainsmokers,Closer,fwdbtn,fwdbtn,TRUE,TRUE
4GAhAw0RCzNVP976NRMOqO,12/15/2024 23:06,android,1869,Love Me Tender - From the 20th Century-Fox CinemaScope Production  Love Me Tender,Elvis Presley,Elvis' Golden Records,fwdbtn,fwdbtn,TRUE,TRUE
1yxJyuOyBzOXbGDAZtT7BD,12/15/2024 23:06,android,1342,Who Cares,Paul McCartney,Egypt Station,fwdbtn,fwdbtn,TRUE,TRUE
2BdBVq6So5sBCbALS2p1rR,12/15/2024 23:06,android,4216,I'm the Only Hell My Mama Ever Raised,Willie Nelson,First Rose of Spring,fwdbtn,fwdbtn,TRUE,TRUE
76CfWxdNh9k5ssABTxlmMJ,12/15/2024 23:06,android,1375,Eight Line Poem - 2015 Remaster,David Bowie,Hunky Dory,fwdbtn,fwdbtn,TRUE,TRUE
52dm9op3rbfAkc1LGXgipW,12/15/2024 23:06,android,1562,Wild Horses - 2009 Mix,The Rolling Stones,Sticky Fingers,fwdbtn,fwdbtn,TRUE,TRUE
4Fz1WWr5o0OrlIcZxcyZtK,12/15/2024 23:06,android,1247,On The Way Home,John Mayer,Paradise Valley,fwdbtn,fwdbtn,TRUE,TRUE
0qHMhBZqYb99yhX9BHcIkV,12/15/2024 23:06,android,1515,Magical Mystery Tour - Remastered 2009,The Beatles,Magical Mystery Tour,fwdbtn,fwdbtn,TRUE,TRUE
0HHdujGjOZChTrl8lJWEIq,12/15/2024 23:06,android,1283,Stop This Train - Live at the Nokia Theatre  Los Angeles CA - December 2007,John Mayer,Where the Light Is: John Mayer Live In Los Angeles,fwdbtn,fwdbtn,TRUE,TRUE
7peh6LUcdNPcMdrSH4JPsM,12/15/2024 23:06,android,1306,I Don't Trust Myself (With Loving You),John Mayer,Continuum,fwdbtn,fwdbtn,TRUE,TRUE
6iGU74CwXuT4XVepjc9Emf,12/15/2024 23:06,android,1893,God Only Knows - Mono,The Beach Boys,Pet Sounds,fwdbtn,fwdbtn,TRUE,TRUE
